4.2450 25.4693 1
7.9650 25.4693 2
3.2850 20.1353 1
6.5250 20.1353 2
5.7950 34.7377 1
10.5450 34.7377 2
5.6850 34.0478 1
10.4650 34.0478 2
3.7550 22.0701 1
6.7650 22.0701 2
1.5850 11.2729 1
14.1150 45.4756 2
3.5050 20.9663 1
1.7450 11.9095 1
3.2450 11.9095 2
5.5550 33.5906 1
10.6650 33.5906 2
2.5850 15.7366 1
4.8650 15.7366 2
1.4450 10.6456 1
2.7250 10.6456 2
2.3250 13.4185 1
4.3350 13.4185 2
5.3250 31.9397 1
3.7250 21.7583 1
6.9050 21.7583 2
4.3150 25.8145 1
4.3550 24.7416 1
3.3250 20.4932 1
6.5450 20.4932 2
2.5850 16.067 1
4.8150 16.067 2
1.8650 12.3254 1
3.5350 12.3254 2
3.0850 19.5962 1
5.8050 19.5962 2
3.4050 21.8896 1
6.3650 21.8896 2
6.3550 39.7765 1
11.9450 39.7765 2
4.8750 30.2518 1
9.5050 30.2518 2
5.7650 36.0069 1
10.7050 36.0069 2
2.1050 13.7845 1
4.2150 13.7845 2
3.2650 20.3338 1
6.2350 20.3338 2
10.7850 36.468 2
5.7950 36.468 1
3.9450 24.8963 1
7.4250 24.8963 2
4.9150 28.4931 1
8.5850 28.4931 2
7.3250 46.1595 1
13.8650 46.1595 2
6.5650 40.2534 1
12.3450 40.2534 2
3.8450 22.9809 1
7.2250 22.9809 2
3.5150 20.1499 1
2.5550 15.6793 1
4.8350 15.6793 2
12.1950 40.2401 2
6.0550 35.4056 1
11.0050 35.4056 2
4.3310 26.2431 1
8.3310 26.2431 2
2.3810 14.1316 1
4.8410 14.1316 2
3.2910 18.6094 1
6.3210 18.6094 2
1.0710 5.87773 1
2.2610 5.87773 2
2.0810 11.8994 1
4.0310 11.8994 2
7.0910 20.1718 2
5.7910 31.5235 1
10.7210 31.5235 2
8.8810 26.8365 2
4.6110 26.8365 1
5.1610 14.7138 2
2.6110 14.7138 1
3.2610 20.6236 1
3.2410 20.6503 1
1.6810 8.87608 1
8.3310 25.463 2
4.5810 13.5877 2
2.2610 13.5877 1
6.5710 17.8599 2
3.2510 17.8599 1
3.9810 21.3673 1
